correction_fn,accurate,TP,TN,FN,FP,contradictory_pairs,consistent_acc_pairs,relevant_pairs,total_questions,num_batches,flips
C_0,830,78,752,7,163,185,3130,1442,1000,100,0
MaxSAT,884,77,807,8,108,59,3509,1121,1000,100,82
C_1,895,79,816,6,99,67,3609,1049,1000,100,87
C_2,858,78,780,7,135,121,3323,1283,1000,100,30
C_3,884,78,806,7,109,77,3519,1130,1000,100,54
C_4,882,78,804,7,111,76,3500,1150,1000,100,56
C_5,881,78,803,7,112,80,3494,1155,1000,100,53
C_6,812,78,734,7,181,241,3029,1559,1000,100,96
C_7,837,78,759,7,156,175,3190,1393,1000,100,29
C_8,567,70,497,15,418,934,1508,2862,1000,100,551
C_9,874,78,796,7,119,93,3444,1187,1000,100,87
C_11,829,78,751,7,164,183,3120,1474,1000,100,47
C_12,934,20,914,65,1,2,3937,458,1000,100,220
C_13,860,77,783,8,132,106,3331,1271,1000,100,88
